Producto,Pergunta,Resposta,Link,Prompt,Validado por
RInvoq 15mg,Quais são as principais indicações terapêuticas do RINVOQ?,"O RINVOQ é indicado para tratar:
Artrite reumatóide ativa moderada a grave em adultos.
Artrite psoriática ativa em adultos.
Espondilartrite axial, incluindo formas não-radiográficas e espondilite anquilosante ativa.
Dermatite atópica moderada a grave em adultos e adolescentes com idade ≥ 12 anos.
Colite ulcerosa ativa moderada a grave.
Doença de Crohn ativa moderada a grave​(RinvoqComprimido_de_lib…).",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
RInvoq 15mg,Qual é a posologia recomendada para o tratamento da artrite reumatóide com RINVOQ?,"A dose recomendada depende da indicação terapêutica é de 15 mg uma vez por dia. A descontinuação deve ser considerada em casos sem resposta clínica após 16 semanas​(RinvoqComprimido_de_lib…).
",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
RInvoq 15mg,Quais são as contraindicações do uso de RINVOQ?,"O uso é contraindicado em pacientes com:
Hipersensibilidade ao princípio ativo ou excipientes.
Tuberculose ativa ou outras infecções graves.
Compromisso hepático grave.
Gravidez​(RinvoqComprimido_de_lib…).
",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
RInvoq 15mg,Quais são as reações adversas mais comuns associadas ao RINVOQ?,"Reações adversas frequentes incluem:
Infecções do trato respiratório superior.
Aumento da creatina fosfocinase (CPK).
Acne, herpes simples, e neutropenia.
Náuseas e aumento de enzimas hepáticas (ALT e AST)​(RinvoqComprimido_de_lib…)",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
RInvoq 15mg,Quais cuidados devem ser tomados com pacientes acima de 65 anos ao usar RINVOQ?,"Esses pacientes têm maior risco de eventos adversos, incluindo MACE (eventos cardiovasculares major maiores), infecções graves e neoplasias malignas. Deve-se usar a dose mínima eficaz (15 mg por dia) e apenas se alternativas não forem adequadas​(RinvoqComprimido_de_lib…).
",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,"1. Qual é a indicação principal do Ozempic?
","O Ozempic é indicado para o tratamento de adultos com diabetes mellitus tipo 2 insuficientemente controlada, como adjuvante à dieta e ao exercício. Pode ser usado em monoterapia, quando a metformina é inapropriada devido a intolerância ou contraindicações, ou em combinação com outros medicamentos para diabetes​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,"2. Como deve ser administrado o Ozempic?
","O Ozempic deve ser administrado por via subcutânea no abdómen, coxa ou braço, uma vez por semana, a qualquer hora do dia, com ou sem alimentos. É importante evitar a administração intravenosa ou intramuscular​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,"3. Quais são as reações adversas mais comuns associadas ao uso do Ozempic?
","As reações adversas mais frequentes são náuseas, diarreia e vómitos. Estas reações geralmente são leves a moderadas e de curta duração, mas podem levar à interrupção do tratamento em alguns casos​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,"4. O Ozempic pode ser usado em pacientes com comprometimento renal ou hepático?
","Sim, o Ozempic pode ser utilizado em pacientes com comprometimento renal ou hepático leve a moderado sem necessidade de ajuste de dose. No entanto, a experiência é limitada em casos graves, sendo necessário cuidado adicional nesses casos​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,5. O que fazer em caso de omissão de uma dose?,"Se uma dose for omitida, ela deve ser administrada o mais rapidamente possível dentro de um prazo de 5 dias. Caso tenham passado mais de 5 dias, a dose omitida deve ser ignorada e o paciente deve retomar a posologia normal no dia previamente estabelecido​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Paclitaxel Accord 6mg,Quais são as indicações terapêuticas do Paclitaxel Accord?,"É indicado para:
Carcinoma do ovário (primeira e segunda linha de tratamento).
Carcinoma da mama (adjuvante, localmente avançado ou metastático).
Carcinoma avançado de células não pequenas do pulmão.
Sarcoma de Kaposi relacionado com SIDA, resistente a antraciclinas lipossómicas​(Paclitaxel_Accord_MGCon…).
",https://chatgpt.com/share/673b4680-cd9c-800a-bab1-7e1441a13a7a,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Paclitaxel Accord 6mg,"Quais os cuidados especiais na administração do Paclitaxel Accord?
","Deve ser administrado em unidades especializadas sob supervisão de um oncologista qualificado. É necessária pré-medicação com corticosteroides, anti-histamínicos e antagonistas dos recetores H2 para prevenir reações de hipersensibilidade. A administração deve ser feita através de um filtro com membrana microporosa ≤ 0,22 µm​(Paclitaxel_Accord_MGCon…).",https://chatgpt.com/share/673b4680-cd9c-800a-bab1-7e1441a13a7a,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Paclitaxel Accord 6mg,"Quais são os principais efeitos adversos associados ao uso de Paclitaxel?
","Efeitos comuns incluem:
Mielossupressão (neutropenia, anemia, trombocitopenia).
Neuropatia periférica.
Reações de hipersensibilidade.
Artralgias/mialgias.
Alopécia.
Em casos raros, reações graves como anafilaxia e colite pseudomembranosa​(Paclitaxel_Accord_MGCon…).
",https://chatgpt.com/share/673b4680-cd9c-800a-bab1-7e1441a13a7a,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Paclitaxel Accord 6mg,"Como deve ser armazenado e manuseado o Paclitaxel Accord?
","Armazenamento: Não conservar acima de 25°C e proteger da luz. Após diluição, usar em até 24 horas a 2-8°C (condições assépticas controladas permitem maior flexibilidade).
Manuseio: Deve ser diluído em condições assépticas por pessoal treinado. É necessário uso de luvas e evitar contato com pele ou mucosas​(Paclitaxel_Accord_MGCon…).",https://chatgpt.com/share/673b4680-cd9c-800a-bab1-7e1441a13a7a,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Paclitaxel Accord 6mg,"Quais são as contra-indicações para o uso de Paclitaxel Accord?

","Contra-indicado em:
Hipersensibilidade ao Paclitaxel ou excipientes (especialmente óleo de rícino polioxietilado 35).
Neutropenia grave antes do início do tratamento (<1.500/mm³ para tumores sólidos e <1.000/mm³ no sarcoma de Kaposi).
Durante a amamentação.
Em casos de infecções graves e não controladas no sarcoma de Kaposi​(Paclitaxel_Accord_MGCon…).",https://chatgpt.com/share/673b4680-cd9c-800a-bab1-7e1441a13a7a,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Diovan 80 mg,1. Quais são as indicações terapêuticas do Diovan 80 mg?,"O Diovan 80 mg é indicado para:

Tratamento da hipertensão arterial essencial em adultos e em crianças/adolescentes de 6 a menos de 18 anos.
Tratamento de insuficiência cardíaca sintomática em adultos quando os inibidores da enzima de conversão da angiotensina (ECA) não são tolerados.
Terapia após enfarte do miocárdio recente em adultos clinicamente estáveis (12 horas a 10 dias)​(DiovanComprimido_revest…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Diovan 80 mg,"2. Quais são as contraindicações principais?
","O Diovan é contraindicado em casos de:

Hipersensibilidade à substância ativa ou a qualquer excipiente.
Compromisso hepático grave, cirrose biliar e colestase.
Gravidez no segundo e terceiro trimestres.
Uso concomitante com medicamentos contendo aliscireno em pacientes com diabetes mellitus ou função renal comprometida (TFG <60 ml/min/1,73m²)​(DiovanComprimido_revest…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Diovan 80 mg,"3. Quais são os efeitos adversos mais comuns relatados?
","Os efeitos adversos mais frequentes incluem:

Tontura.
Hipotensão.
Dor abdominal.
Fadiga.
Compromisso e insuficiência renal
Em casos menos frequentes, pode ocorrer hipercaliemia e insuficiência renal​(DiovanComprimido_revest…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Diovan 80 mg,"4. Qual a posologia recomendada para hipertensão em adultos?
","A dose inicial recomendada é de 80 mg uma vez ao dia. Caso a pressão arterial não seja devidamente controlada, a dose pode ser aumentada para 160 mg e, se necessário, até o máximo de 320 mg por dia. Diovan pode ser administrado com outros agentes anti-hipertensores​(DiovanComprimido_revest…).

",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Diovan 80 mg,"5. Quais cuidados especiais devem ser observados na administração do medicamento?
","Monitorizaçãoamento de potássio: Especialmente ao usar diuréticos poupadores de potássio ou substitutos de sal contendo potássio.
Função renal: Recomenda-se cuidado em pacientes com função renal comprometida (depuração de creatinina <10 ml/min).
Gravidez: Deve ser interrompido imediatamente se diagnosticada a gravidez.
Hepatopatias: A dose não deve exceder 80 mg em pacientes com comprometimento hepático leve a moderado sem colestase​(DiovanComprimido_revest…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Influvac tetra,Para quem o Influvac Tetra é indicado?,"É indicado para a profilaxia da gripe em adultos e crianças a partir de 6 meses de idade, especialmente para aqueles com maior risco de complicações associadas à gripe​(Influvac_TetraSuspensã…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Influvac tetra,"Quais são os componentes ativos da vacina?
","Contém antigénios de superfície do vírus Influenza (hemaglutinina e neuraminidase) das estirpes:
A/Victoria/4897/2022 (H1N1)pdm09
A/Darwin/9/2021 (H3N2)
B/Austria/1359417/2021
B/Phuket/3073/2013​(Influvac_TetraSuspensã…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Influvac tetra,Quais são as contraindicações do Influvac Tetra?,"É contraindicado para pessoas com hipersensibilidade às substâncias ativas, a qualquer excipiente mencionado ou a componentes como ovos, formaldeído, brometo de cetiltrimetilamónio, polissorbato 80 ou gentamicina. Também não deve ser administrado em doentes com febre ou infeções agudas​(Influvac_TetraSuspensã…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Influvac tetra,"Como deve ser administrado o Influvac Tetra?
","A vacina deve ser administrada por via intramuscular ou subcutânea profunda. Em crianças menores de 35 meses, a injeção é preferencialmente no lado antero-lateral da coxa, enquanto em crianças acima de 36 meses e adultos, no músculo deltoide​(Influvac_TetraSuspensã…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Influvac tetra,Quais são os possíveis efeitos adversos mais comuns?,"Os efeitos adversos mais frequentes incluem dor no local da injeção, fadiga, cefaleia, e em crianças pequenas, sonolência, irritabilidade e perda de apetite. Em geral, essas reações são leves e desaparecem espontaneamente dentro de 1 a 3 dias​(Influvac_TetraSuspensã…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Comirnaty JN.1,Para quem está indicado o Comirnaty?,"O Comirnaty está indicado para imunização ativa para prevenir a COVID-19 causada pelo SARS-CoV-2 em indivíduos com idade igual ou superior a 12 anos. A utilização segue as recomendações oficiais​(Comirnaty_JN_1Dispersã…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Comirnaty JN.1,Quais as principais contraindicações?,"A vacina é contraindicada em casos de hipersensibilidade à substância ativa ou a qualquer um dos excipientes mencionados na secção 6.1 do documento​(Comirnaty_JN_1Dispersã…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Comirnaty JN.1,Quais os efeitos adversos mais frequentes observados?,"Os efeitos adversos mais comuns incluem dor no local da injeção (>80%), fadiga (>60%), cefaleias (>50%), mialgia (>40%), arrepios (>30%), artralgia (>20%) e febre (>10%). Estes são geralmente leves ou moderados e resolvem-se em alguns dias​(Comirnaty_JN_1Dispersã…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Comirnaty JN.1,Existe algum risco associado à vacinação em pessoas jovens?,"Sim, há um risco aumentado de miocardite e pericardite, especialmente em jovens do sexo masculino, geralmente observados dentro de 14 dias após a vacinação​(Comirnaty_JN_1Dispersã…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Comirnaty JN.1,Como deve ser administrada a vacina?,"O Comirnaty deve ser administrado por via intramuscular, preferencialmente no músculo deltoide do braço. A vacina não deve ser diluída antes do uso e não pode ser misturada com outros medicamentos na mesma seringa​(Comirnaty_JN_1Dispersã…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Triticum 100 mg,1. Qual é a substância ativa do medicamento Triticum e para que é indicado?,"Resposta: A substância ativa é o cloridrato de trazodona, e o medicamento é indicado para o tratamento da depressão​(TriticumComprimido_reve…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Triticum 100 mg,2. Quais as contraindicações principais do uso de Triticum?,"Resposta: O Triticum é contraindicado para:
Indivíduos com hipersensibilidade à substância ativa ou a qualquer excipiente.
Menores de 18 anos.
Pacientes em recuperação de enfarte agudo do miocárdio.
Indivíduos com intoxicação por álcool ou hipnóticos​(TriticumComprimido_reve…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Triticum 100 mg,3. Como deve ser administrado e qual é a dosagem recomendada?,"Resposta: A dose recomendada é de 1-2 comprimidos, duas a três vezes por dia, preferencialmente após as refeições, ajustada pelo médico de acordo com a gravidade da doença, peso, idade e estado geral do paciente. Para idosos ou pacientes frágeis, a dose inicial recomendada é de 100 mg/dia, administrada em doses fracionadas ou numa única dose à noite, podendo ser aumentada conforme a tolerância e eficácia​(TriticumComprimido_reve…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Triticum 100 mg,4. Quais são os efeitos adversos mais comuns do Triticum?,"Resposta: Os efeitos adversos incluem:
Sonolência, tontura, náusea, boca seca e dores de cabeça.
Em casos graves, podem ocorrer ideação suicida, priapismo, síndrome serotoninérgica e hipotensão ortostática​(TriticumComprimido_reve…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Triticum 100 mg,5. Há restrições no uso de Triticum durante a gravidez ou amamentação?,"Resposta: Durante a gravidez, deve-se ter precaução ao prescrever Triticum. Quando usado até o momento do parto, é recomendada a monitorização dos recém-nascidos para sintomas de abstinência. Na amamentação, como os dados sobre excreção no leite humano são limitados, a decisão deve considerar os benefícios para a mãe e o bebé​(TriticumComprimido_reve…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Depakine 40 mg /ml,1. Quais são as principais indicações terapêuticas do Depakine Xarope 40 mg/ml?,"O Depakine é indicado para:
Tratamento de crises epiléticas generalizadas ou parciais, incluindo convulsões clónicas, tónicas, tónico-clónicas, mioclónicas e ausências.
Tratamento de formas mistas de epilepsia, incluindo as síndromes de West e Lennox-Gastaut.
Tratamento de episódios maníacos associados a perturbações bipolares, especialmente quando o lítio está contraindicado ou não é tolerado​(DepakineXarope40_mg_ml).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Depakine 40 mg /ml,2. Quais são os principais efeitos adversos associados ao uso do Depakine?,"Os efeitos adversos incluem:
Muito frequentes: Tremores, náuseas.
Frequentes: Trombocitopenia, sonolência, aumento de peso, hiponatremia.
Pouco frequentes: Pancreatite, hipotermia, hiperamonemia associada a sintomas neurológicos.
Raros: Hepatite grave, encefalopatia, rabdomiólise​(DepakineXarope40_mg_ml).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Depakine 40 mg /ml,3. Quais as contraindicações principais para o uso de Depakine?,"O Depakine está contraindicado em casos de:
Hepatite aguda ou crónica.
História pessoal ou familiar de hepatite grave.
Doenças mitocondriais causadas por mutações no gene POLG.
Tratamento de epilepsia e perturbação bipolar em mulheres grávidas, salvo se não houver alternativa eficaz​(DepakineXarope40_mg_ml).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Depakine 40 mg /ml,4. Quais são as precauções específicas para mulheres em idade fértil ou grávidas?,"O Depakine tem elevado risco teratogénico. É contraindicado durante a gravidez, exceto em casos sem alternativas.
As mulheres em idade fértil devem aderir ao Programa de Prevenção da Gravidez, usando contraceção eficaz.
Em caso de gravidez, o tratamento deve ser reavaliado e alternativas devem ser consideradas​(DepakineXarope40_mg_ml).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Depakine 40 mg /ml,5. Como é feita a administração inicial e o ajuste de dose do Depakine?,"Para epilepsia:
Início: 10-15 mg/kg/dia, aumentando gradualmente até 20-30 mg/kg/dia.
Doses superiores a 50 mg/kg/dia exigem vigilância rigorosa.
Para perturbação bipolar:
Adultos: Dose inicial de 750 mg/dia, podendo ser ajustada até 1000-2000 mg/dia com base na resposta clínica​(DepakineXarope40_mg_ml).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Lenalidomida tecnigen 10mg,1. Quais são as principais indicações terapêuticas da Lenalidomida Tecnigen?,"A Lenalidomida Tecnigen é indicada para:

Mieloma múltiplo:
Tratamento de manutenção em pacientes adultos recém-diagnosticados após transplante autólogo de células-tronco.
Em combinação com outros medicamentos (dexametasona, bortezomibe ou melfalano e prednisona) para pacientes inelegíveis ao transplante ou que já receberam pelo menos um tratamento anterior.
Linfoma folicular: Em combinação com rituximabe, para pacientes adultos previamente tratados​(Lenalidomida_Tecnigen_M…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Lenalidomida tecnigen 10mg,2. Quais são os ajustes de dose recomendados para trombocitopenia ou neutropenia?,"Trombocitopenia:
Interromper o tratamento quando as plaquetas caírem para níveis críticos (ex.: < 25 x 10⁹/L).
Retomar em níveis ajustados ao recuperar valores aceitáveis​(Lenalidomida_Tecnigen_M…).
Neutropenia:
Interromper o tratamento quando a contagem de neutrófilos cair abaixo de 0,5 x 10⁹/L.
Considerar fatores de crescimento e retomar a dose reduzida quando os valores recuperarem​(Lenalidomida_Tecnigen_M…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Lenalidomida tecnigen 10mg,3. Quais são as principais contraindicações?,"Hipersensibilidade à lenalidomida ou aos excipientes.
Gravidez devido ao alto risco de teratogenicidade.
Mulheres com potencial para engravidar, salvo sob rígidas condições do Programa de Prevenção da Gravidez​(Lenalidomida_Tecnigen_M…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Lenalidomida tecnigen 10mg,4. Quais precauções são recomendadas para evitar a teratogenicidade?,"Mulheres em idade fértil devem usar métodos contraceptivos eficazes pelo menos 4 semanas antes de iniciar o tratamento e até 4 semanas após o término.
Testes de gravidez regulares (mensais) supervisionados por um médico são exigidos mandatórios.
Homens tratados com lenalidomida devem usar preservativos durante relações sexuais para prevenir exposição ao feto, mesmo após vasectomia​(Lenalidomida_Tecnigen_M…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Lenalidomida tecnigen 10mg,5. Como deve ser administrado o medicamento?,"Via oral, no mesmo horário diariamente, com ou sem alimentos.
As cápsulas devem ser ingeridas inteiras, sem serem abertas, partidas ou mastigadas.
Recomenda-se cuidado ao retirar a cápsula do blister para evitar danos​(Lenalidomida_Tecnigen_M…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ciplox 500mg,Quais são as principais indicações terapêuticas do Ciplox?,"O Ciplox está indicado para o tratamento de várias infeções bacterianas, incluindo:

Infeções respiratórias (pneumonia, bronquites, exacerbações da doença pulmonar obstrutiva crónica).
Infeções do trato urinário (cistite, pielonefrite, prostatite bacteriana).
Doenças de transmissão sexual, como uretrite e cervicite gonocócica.
Infeções gastrointestinais (ex.: diarreia do viajante).
Antraz por inalação.
Deve-se consultar o médico antes de iniciar o tratamento, especialmente em casos de resistência bacteriana​(Ciplox_MGComprimido_rev…).",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ciplox 500mg,Quais são os efeitos adversos mais comuns associados ao Ciplox?,"Os efeitos adversos mais comuns incluem:

Náuseas.
Diarreia.
Dor abdominal.
Tonturas.
Em casos raros, podem ocorrer reações alérgicas graves, alterações no sistema nervoso central (como convulsões), ou problemas musculosqueléticos, como tendinite e rutura de tendão​(Ciplox_MGComprimido_rev…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ciplox 500mg,Como deve ser administrado o Ciplox?,"O Ciplox deve ser ingerido com líquido, sem mastigar. Pode ser tomado independentemente das refeições, mas sua absorção é mais rápida com o estômago vazio. Evite tomá-lo com produtos lácteos ou sucos enriquecidos com minerais, pois podem interferir na sua eficácia​(Ciplox_MGComprimido_rev…).

",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ciplox 500mg,Quais são as contraindicações do uso do Ciplox?,"O Ciplox não deve ser usado em casos de:

Hipersensibilidade à ciprofloxacina ou outras quinolonas.
Uso concomitante de tizanidina.
Histórico de reações adversas graves às fluoroquinolonas, como tendinite ou neuropatia​(Ciplox_MGComprimido_rev…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ciplox 500mg,O Ciplox é seguro para uso em crianças e grávidas?,"Crianças: Pode ser utilizado em casos específicos, como infeções graves, mas requer avaliação cuidadosa devido ao risco de artropatia.
Grávidas: Embora não haja evidências claras de malformações, recomenda-se evitar o uso durante a gravidez devido ao potencial risco de danos à cartilagem do feto.
Amamentação: Não deve ser usado, pois a ciprofloxacina é excretada no leite materno​(Ciplox_MGComprimido_rev…).
",,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês